primary_theme,all_themes,n_themes,authors,year,title,venue,doi,citations,subtheme,finding
Environmental degradation,Environmental degradation,1,Leijtens et al.,2013,Overcoming ultraviolet light instability of sensitized TiO2 with meso-superstructured organometal tri-halide perovskite solar cells,Nature Communications,10.1038/ncomms3885,1839,UV-induced degradation & photocatalysis,UV illumination of TiO2 electron-transport layers triggers photocatalytic degradation; replacing/insulating TiO2 mitigates UV instability.
Environmental degradation,Environmental degradation; Device stability,2,Khenkin et al.,2020,Consensus statement for stability assessment and reporting for perovskite photovoltaics based on ISOS procedures,Nature Energy,10.1038/s41560-019-0529-5,1739,Synthesis: reporting standards & synergy,"ISOS consensus protocols standardize how moisture, thermal, light and operational stress tests are run and reported for perovskite devices."
Environmental degradation,Environmental degradation,1,Lee et al.,2015,Formamidinium and Cesium Hybridization for Photo‐ and Moisture‐Stable Perovskite Solar Cell,Advanced Energy Materials,10.1002/aenm.201501310,1648,Compositional route to intrinsic stability,"FA/Cs cation mixing yields perovskites with improved photo- and moisture-stability versus MA-based analogues, a compositional route to durability."
Environmental degradation,Environmental degradation,1,Christians et al.,2015,Transformation of the Excited State and Photovoltaic Efficiency of CH3NH3PbI3 Perovskite upon Controlled Exposure to Humidified Air,Journal of the American Chemical Society,10.1021/ja511132a,1349,Moisture ingress & hydrate intermediates,Moderate humidified air can transiently boost then degrade MAPbI3 performance; water intercalation is initially reversible before hydrate/PbI2 formation.
Environmental degradation,Environmental degradation,1,Leguy et al.,2015,"Reversible Hydration of CH3NH3PbI3 in Films, Single Crystals, and Solar Cells",Chemistry of Materials,10.1021/acs.chemmater.5b00660,1342,Moisture ingress & hydrate intermediates,MAPbI3 reversibly forms mono- then dihydrate on humidity exposure; prolonged water drives irreversible decomposition to PbI2.
Environmental degradation,Environmental degradation,1,Yang et al.,2015,Investigation of CH3NH3PbI3 Degradation Rates and Mechanisms in Controlled Humidity Environments Using in Situ Techniques,ACS Nano,10.1021/nn506864k,1336,Moisture ingress & hydrate intermediates,"Direct real-time imaging of MAPbI3 hydrate formation and PbI2 conversion, resolving humidity-dependent degradation rates and pathways."
Environmental degradation,Environmental degradation,1,Aristidou et al.,2017,Fast oxygen diffusion and iodide defects mediate oxygen-induced degradation of perovskite solar cells,Nature Communications,10.1038/ncomms15218,1276,Photo-oxidation & superoxide,"Iodide vacancies mediate fast O2 diffusion and superoxide formation; defect density controls photo-oxidation rate, linking defects to environmental attack."
Environmental degradation,Environmental degradation,1,Bryant et al.,2016,Light and oxygen induced degradation limits the operational stability of methylammonium lead triiodide perovskite solar cells,Energy & Environmental Science,10.1039/c6ee00409a,1013,Photo-oxidation & superoxide,Combined light + O2 (not moisture alone) limits operational MAPbI3 device stability; superoxide-driven decomposition dominates in air under illumination.
Environmental degradation,Environmental degradation,1,Aristidou et al.,2015,The Role of Oxygen in the Degradation of Methylammonium Lead Trihalide Perovskite Photoactive Layers,Angewandte Chemie International Edition,10.1002/anie.201503153,957,Photo-oxidation & superoxide,Molecular O2 plus light generates superoxide that deprotonates MA+ and decomposes MAPbI3; establishes photo-oxidation as a distinct O2-driven channel.
Environmental degradation,Environmental degradation,1,Wang et al.,2016,Scaling behavior of moisture-induced grain degradation in polycrystalline hybrid perovskite thin films,Energy & Environmental Science,10.1039/c6ee02941h,880,Moisture ingress & hydrate intermediates,"Moisture-induced degradation nucleates at grain boundaries and scales with grain-boundary density, identifying microstructure as a moisture-stability lever."
Environmental degradation,Environmental degradation,1,Bischak et al.,2017,Origin of Reversible Photoinduced Phase Separation in Hybrid Perovskites,Nano Letters,10.1021/acs.nanolett.6b04453,725,Photoinduced halide segregation (Hoke effect),"Polaron-strain model for reversible photoinduced phase separation: carrier-lattice coupling drives halide demixing, explaining reversibility."
Environmental degradation,Environmental degradation,1,Juárez‐Pérez et al.,2018,Photodecomposition and thermal decomposition in methylammonium halide lead perovskites and inferred design principles to increase photovoltaic device stability,Journal of Materials Chemistry A,10.1039/c8ta03501f,618,Thermal decomposition & cation volatilization,"Distinguishes thermal from photochemical decomposition of MA perovskites; identifies gaseous products (CH3NH2, HI vs. NH3, CH3I) diagnostic of each route."
Environmental degradation,Environmental degradation,1,Draguta et al.,2017,Rationalizing the light-induced phase separation of mixed halide organic–inorganic perovskites,Nature Communications,10.1038/s41467-017-00284-2,546,Photoinduced halide segregation (Hoke effect),Photoinduced halide segregation is governed by carrier density/thermodynamics; illumination intensity and composition set the segregation threshold.
Environmental degradation,Environmental degradation,1,Juárez‐Pérez et al.,2019,Thermal degradation of formamidinium based lead halide perovskites into sym -triazine and hydrogen cyanide observed by coupled thermogravimetry-mass spectrometry analysis,Journal of Materials Chemistry A,10.1039/c9ta06058h,282,Thermal decomposition & cation volatilization,"FA-based perovskites thermally decompose via sym-triazine and other volatile products, showing FA is not immune to cation-loss pathways."
Environmental degradation,Environmental degradation,1,Kerner et al.,2021,The role of halide oxidation in perovskite halide phase separation,Joule,10.1016/j.joule.2021.07.011,214,Photoinduced halide segregation (Hoke effect),"Halide (iodide) oxidation to I2/I3- is a chemical driver of light-induced phase separation, coupling redox chemistry to segregation."
Environmental degradation,Environmental degradation,1,Siegler et al.,2022,Water-Accelerated Photooxidation of CH3NH3PbI3 Perovskite,Journal of the American Chemical Society,10.1021/jacs.2c00391,87,Photo-oxidation & superoxide,"Trace water dramatically accelerates photo-oxidation of MAPbI3, revealing a light+O2+H2O synergy beyond either agent alone."
Ion migration,Ion migration; Computational methods,2,Eames et al.,2015,Ionic transport in hybrid lead iodide perovskite solar cells,Nature Communications,10.1038/ncomms8497,2814,Vacancy-mediated mechanism,"DFT+experiment establish iodide vacancy migration (~0.58 eV) as the dominant transport channel in MAPbI3, seeding the field's mechanistic picture."
Ion migration,Ion migration,1,Snaith et al.,2014,Anomalous Hysteresis in Perovskite Solar Cells,The Journal of Physical Chemistry Letters,10.1021/jz500113x,2448,Hysteresis signature,Identifies anomalous J-V hysteresis in perovskite cells and proposes slow ionic/defect processes as a leading cause.
Ion migration,Ion migration,1,Yuan et al.,2016,Ion Migration in Organometal Trihalide Perovskite and Its Impact on Photovoltaic Efficiency and Stability,Accounts of Chemical Research,10.1021/acs.accounts.5b00420,1811,Hysteresis signature,"Review synthesizing evidence that mobile ions drive hysteresis, switchable photovoltaics, and giant dielectric response."
Ion migration,Ion migration,1,Azpiroz et al.,2015,Defect migration in methylammonium lead iodide and its role in perovskite solar cell operation,Energy & Environmental Science,10.1039/c5ee01265a,1616,Vacancy-mediated mechanism,First-principles defect migration in MAPbI3 finds iodide the most mobile species and links its motion to hysteresis.
Ion migration,Ion migration,1,Shao et al.,2016,Grain boundary dominated ion migration in polycrystalline organic–inorganic halide perovskite films,Energy & Environmental Science,10.1039/c6ee00413j,1205,Grain boundary vs bulk,"Direct imaging shows ion migration is dominated by grain boundaries in polycrystalline films, far faster than through bulk grains."
Ion migration,Ion migration; Passivation & additives,2,Li et al.,2019,Cation and anion immobilization through chemical bonding enhancement with fluorides for stable halide perovskite solar cells,Nature Energy,10.1038/s41560-019-0382-6,1165,Immobilization strategies,Cation and anion immobilization via chemical-bond enhancement suppresses migration and boosts operational stability.
Ion migration,Ion migration,1,Haruyama et al.,2015,First-Principles Study of Ion Diffusion in Perovskite Solar Cell Sensitizers,Journal of the American Chemical Society,10.1021/jacs.5b03615,723,Vacancy-mediated mechanism,First-principles ion-diffusion study confirms the iodide vacancy as lowest-barrier migrating defect and maps concerted pathways.
Ion migration,Ion migration,1,Domanski et al.,2017,Migration of cations induces reversible performance losses over day/night cycling in perovskite solar cells,Energy & Environmental Science,10.1039/c6ee03352k,710,Long-timescale consequences,"Distinguishes fast reversible from slow cation-migration-induced performance losses over hours of operation, an interfacial-accumulation signature."
Ion migration,Ion migration,1,Meggiolaro et al.,2018,Iodine chemistry determines the defect tolerance of lead-halide perovskites,Energy & Environmental Science,10.1039/c8ee00124c,645,Point-defect chemistry & tolerance,"Iodine redox chemistry (I-rich vs I-poor) governs which deep vs shallow defects form, explaining perovskite defect tolerance."
Ion migration,Ion migration,1,Walsh et al.,2014,Self‐Regulation Mechanism for Charged Point Defects in Hybrid Halide Perovskites,Angewandte Chemie International Edition,10.1002/anie.201409740,611,Point-defect chemistry & tolerance,Self-regulation of charged point defects keeps Fermi level pinned and native defects mostly shallow — the basis of defect tolerance.
Ion migration,Ion migration; Passivation & additives,2,Lee et al.,2022,Rethinking the A cation in halide perovskites,Science,10.1126/science.abj1186,541,A-site pinning cations,"Rethinking the A-cation: bulky guanidinium-type cations raise the iodide-migration barrier, the 'pinning' concept central to the project."
Ion migration,Ion migration,1,Zhang et al.,2019,Phase segregation due to ion migration in all-inorganic mixed-halide perovskite nanocrystals,Nature Communications,10.1038/s41467-019-09047-7,433,Halide segregation,"Demonstrates ion-migration-driven phase segregation in all-inorganic mixed-halide CsPb(I/Br)3, linking it to vacancy motion."
Ion migration,Ion migration,1,Futscher et al.,2019,Quantification of ion migration in CH 3 NH 3 PbI 3 perovskite solar cells by transient capacitance measurements,Materials Horizons,10.1039/c9mh00445a,400,Quantification of migration,"Transient ion-drift measurements quantify densities and activation energies of migrating species, separating cation from anion motion."
Ion migration,Ion migration; Passivation & additives,2,Zhao et al.,2022,Suppressing ion migration in metal halide perovskite via interstitial doping with a trace amount of multivalent cations,Nature Materials,10.1038/s41563-022-01390-3,269,Immobilization strategies,"Interstitial doping immobilizes mobile halides, raising migration barriers and suppressing ion transport (project anchor)."
Ion migration,Ion migration,1,Huang et al.,2017,Intrinsic Point Defects in Inorganic Cesium Lead Iodide Perovskite CsPbI3,The Journal of Physical Chemistry C,10.1021/acs.jpcc.7b10045,206,Point-defect chemistry & tolerance,Intrinsic point-defect calculations in inorganic CsPbI3 identify dominant vacancies/interstitials and their charge states — directly the project's system.
Ion migration,Ion migration,1,Ghasemi et al.,2023,A multiscale ion diffusion framework sheds light on the diffusion–stability–hysteresis nexus in metal halide perovskites,Nature Materials,10.1038/s41563-023-01488-2,129,Grain boundary vs bulk,"Multiscale framework reconciles wide barrier scatter by showing grain boundaries and morphology set effective diffusion, not single-crystal barriers."
Ion migration,Ion migration,1,Samatov et al.,2024,Ion Migration at Metal Halide Perovskite Grain Boundaries Elucidated with a Machine Learning Force Field,The Journal of Physical Chemistry Letters,10.1021/acs.jpclett.4c03332,32,MLIP / force-field studies,Machine-learning force field resolves ion migration at perovskite grain boundaries with near-DFT accuracy at MD length/time scales.
Ion migration,Ion migration; Computational methods,2,Tyagi et al.,2025,Tracing Ion Migration in Halide Perovskites with Machine Learned Force Fields,The Journal of Physical Chemistry Letters,10.1021/acs.jpclett.5c01139,18,MLIP / force-field studies,Machine-learned force field traces ion-migration trajectories and barrier distributions in halide perovskites across charge states.
Ion migration,Ion migration,1,Thiesbrummel et al.,2026,Ion migration in perovskite solar cells,Nature Reviews Chemistry,10.1038/s41570-025-00790-8,15,Synthesis / review,"Recent review consolidating ion-migration mechanisms, measurement, and mitigation in perovskite solar cells."
Ion migration,Ion migration,1,Arber et al.,2025,Ion Migration and Dopant Effects in the Gamma-CsPbI3 Perovskite Photovoltaic Material: Atomistic Insights through Ab Initio and Machine Learning Methods,Chemistry of Materials,10.1021/acs.chemmater.5c00503,9,MLIP / force-field studies,MLIP-driven NEB quantifies dopant effects on iodide-vacancy migration in gamma-CsPbI3 — the project's exact methodology and system.
Ion migration,Ion migration,1,Tyagi et al.,2026,A Unified microscopic picture of cation and anion migration in MAPbI$_3$,arXiv (preprint),arxiv:2605.02685,0,MLIP / force-field studies,"Unified MLIP picture of both cation and anion migration in MAPbI3, extending force-field migration studies to full ion inventory."
Strain engineering,Strain engineering,1,Kim et al.,2020,Impact of strain relaxation on performance of α-formamidinium lead iodide perovskite solar cells,Science,10.1126/science.abc4417,1332,phase-stability,"Relaxing residual strain in α-FAPbI₃ suppresses the transition to the photoinactive δ-phase, stabilizing the black perovskite and boosting device performance."
Strain engineering,Strain engineering,1,Zhu et al.,2019,Strain engineering in perovskite solar cells and its impacts on carrier dynamics,Nature Communications,10.1038/s41467-019-08507-4,1021,tensile-defects,"Depth-dependent GIXRD reveals a gradient of in-plane residual strain; strain-induced band bending (DFT) governs carrier dynamics, and controlled strain modulation yields 20.7% certified PCE."
Strain engineering,Strain engineering,1,Zhao et al.,2017,Strained hybrid perovskite thin films and their impact on the intrinsic stability of perovskite solar cells,Science Advances,10.1126/sciadv.aao5616,951,origins,"Landmark demonstration that MAPbI₃ films are residually strained relative to substrates from thermal-expansion mismatch during annealing, degrading intrinsic stability."
Strain engineering,Strain engineering,1,Prasanna et al.,2017,Band Gap Tuning via Lattice Contraction and Octahedral Tilting in Perovskite Materials for Photovoltaics,Journal of the American Chemical Society,10.1021/jacs.7b04981,878,phase-stability,"Lattice contraction and octahedral tilting (via A/B-cation size) tune bandgap and phase behaviour, establishing the composition→lattice→property link underpinning strain design."
Strain engineering,Strain engineering,1,Tsai et al.,2018,Light-induced lattice expansion leads to high-efficiency perovskite solar cells,Science,10.1126/science.aap8671,761,origins,"Light-soaking drives a reversible ~0.1–0.3% lattice expansion that relaxes local strain at grain boundaries/interfaces, uniformly raising efficiency across architectures."
Strain engineering,Strain engineering,1,Chen et al.,2020,Strain engineering and epitaxial stabilization of halide perovskites,Nature,10.1038/s41586-019-1868-x,703,ctl-substrate-regulation,Epitaxial growth on lattice-mismatched single-crystal substrates imposes controllable compressive/tensile strain and stabilizes otherwise-metastable halide-perovskite phases.
Strain engineering,Strain engineering,1,Xue et al.,2020,Regulating strain in perovskite thin films through charge-transport layers,Nature Communications,10.1038/s41467-020-15338-1,655,ctl-substrate-regulation,"Compressive strain injected from a high-thermal-expansion HTL compensates residual tensile strain, raising the ion-migration activation energy; 16.4% wide-bandgap cell keeps 96% after 85 °C/1000 h."
Strain engineering,Strain engineering,1,Liu et al.,2021,Strain analysis and engineering in halide perovskite photovoltaics,Nature Materials,10.1038/s41563-021-01097-x,510,review,"Reference review defining strain analysis (GIWAXS, XRD sin²ψ, Williamson–Hall) and engineering routes; frames residual strain as an intrinsic, encapsulation-immune instability channel."
Strain engineering,Strain engineering,1,Jones et al.,2019,Lattice strain causes non-radiative losses in halide perovskites,Energy & Environmental Science,10.1039/c8ee02751j,495,tensile-defects,"Spatially-resolved strain patterns across films correlate with shortened carrier lifetimes, directly tying local lattice strain to non-radiative recombination losses."
Strain engineering,Strain engineering,1,Wang et al.,2019,Interfacial Residual Stress Relaxation in Perovskite Solar Cells with Improved Stability,Advanced Materials,10.1002/adma.201904408,483,origins,"Interfacial residual tensile stress relaxed by a strain-releasing interlayer, improving both efficiency and operational/thermal stability of the device stack."
Strain engineering,Strain engineering,1,Jiang et al.,2022,Synergistic strain engineering of perovskite single crystals for highly stable and sensitive X-ray detectors with low-bias imaging and monitoring,Nature Photonics,10.1038/s41566-022-01024-9,393,operational-reverse-bias,"Synergistic strain engineering in perovskite single crystals reduces defect density and enhances stability, extending strain control beyond polycrystalline films."
Strain engineering,Strain engineering,1,Yang et al.,2022,Strain effects on halide perovskite solar cells,Chemical Society Reviews,10.1039/d2cs00278g,326,review,"Comprehensive review linking tensile/compressive strain to ion migration, defect formation, halide segregation and phase stability across the strain-effect landscape."
Strain engineering,Strain engineering,1,Wu et al.,2021,"Strain in perovskite solar cells: origins, impacts and regulation",National Science Review,10.1093/nsr/nwab047,275,review,"Review establishing that residual tensile strain — unlike moisture/heat — cannot be countered by encapsulation, and surveys origins, characterization and regulation."
Strain engineering,Strain engineering,1,Zhang et al.,2022,Elimination of Interfacial Lattice Mismatch and Detrimental Reaction by Self‐Assembled Layer Dual‐Passivation for Efficient and Stable Inverted Perovskite Solar Cells,Advanced Energy Materials,10.1002/aenm.202103674,204,buried-interface,"Eliminating interfacial lattice mismatch removes a strain source and a detrimental interfacial reaction, improving stability of the perovskite/charge-transport junction."
Strain engineering,Strain engineering,1,Meng et al.,2022,Revealing the strain-associated physical mechanisms impacting the performance and stability of perovskite solar cells,Joule,10.1016/j.joule.2022.01.011,198,compressive-migration-segregation,"Resolves the microscopic mechanisms by which residual strain degrades performance, connecting lattice distortion to defect populations and transport."
Strain engineering,Strain engineering,1,Zhou et al.,2022,Revealing Steric‐Hindrance‐Dependent Buried Interface Defect Passivation Mechanism in Efficient and Stable Perovskite Solar Cells with Mitigated Tensile Stress,Advanced Functional Materials,10.1002/adfm.202205507,195,buried-interface,Steric-hindrance-tuned molecular passivation at the buried interface simultaneously relieves interfacial lattice strain and passivates defects.
Strain engineering,Strain engineering,1,Muscarella et al.,2020,Lattice Compression Increases the Activation Barrier for Phase Segregation in Mixed-Halide Perovskites,ACS Energy Letters,10.1021/acsenergylett.0c01474,153,compressive-migration-segregation,Hydrostatic lattice compression raises the activation barrier for photoinduced halide segregation in mixed-halide films — direct evidence that compressive strain suppresses phase separation.
Strain engineering,Strain engineering,1,Shen et al.,2024,Strain regulation retards natural operation decay of perovskite solar cells,Nature,10.1038/s41586-024-08161-x,151,operational-reverse-bias,"Under day/night cycling, periodic thermal strain (absent in continuous-mode tests) drives trap accumulation and chemical decay; phenylselenenyl chloride regulates strain for 26.3% certified PCE and 10× T80 improvement."
Strain engineering,Strain engineering,1,Moloney et al.,2020,Strain Engineering in Halide Perovskites,ACS Materials Letters,10.1021/acsmaterialslett.0c00308,137,review,"Early framing review cataloguing strain sources (thermal-mismatch, lattice-mismatch, composition) and their coupling to optoelectronic and stability properties."
Strain engineering,Strain engineering,1,Wang et al.,2022,Strain Modulation for Light‐Stable n–i–p Perovskite/Silicon Tandem Solar Cells,Advanced Materials,10.1002/adma.202201315,137,ctl-substrate-regulation,"Strain modulation produces light-stable n–i–p perovskite/silicon tandem sub-cells, mitigating photoinduced strain-driven degradation in wide-bandgap tops."
Strain engineering,Strain engineering,1,Zhang et al.,2022,Strain Control to Stabilize Perovskite Solar Cells,Angewandte Chemie International Edition,10.1002/anie.202212268,115,compressive-migration-segregation,Demonstrates strain control as a general handle to stabilize perovskite solar cells against operational stressors.
Strain engineering,Strain engineering,1,Muscarella et al.,2022,The influence of strain on phase stability in mixed-halide perovskites,Joule,10.1016/j.joule.2022.07.005,100,compressive-migration-segregation,"Systematic study showing applied strain shifts the thermodynamics/kinetics of halide phase separation in mixed-halide perovskites, coupling strain state to compositional stability."
Strain engineering,Strain engineering; Device stability,2,Du et al.,2026,Taming Lattice Strain via Buried Interface Engineering for Reverse-Bias Resilient Perovskite Solar Cells,Nano-Micro Letters,10.1007/s40820-026-02244-2,0,buried-interface,"Identifies the buried HTL/perovskite interface as the principal strain-accumulation site; a fluorinated anchor (3F-2TC) relieves strain (GIWAXS-confirmed), giving 26.10% PCE and 91.58% retention after 200 h at −1.0 V reverse bias."
Passivation & additives,Passivation & additives,1,Jiang et al.,2019,Surface passivation of perovskite film for efficient solar cells,Nature Photonics,10.1038/s41566-019-0398-2,4695,Lewis-base & molecular surface passivation,"PEAI surface treatment on FA-rich films passivates surface defects, boosting Voc and certified efficiency while improving ambient stability — the canonical ammonium-halide surface passivation."
