sample,tth,e_tth,area,e_area,fwhm,e_fwhm,eta,e_eta,window_chi2r,at_fwhm_floor,seed_tth,delta_chi2,p_asymptotic,p_bootstrap,p_empirical_floor,effective_dof,detected,seed_offset,detection_unmatched,is_perovskite,phase
passivator-01,23.130003,0.016372,2.777262,2.537376,0.085627,0.100898,0,3.489285755,1.006812185,False,22.818598,11.58852,0.008934239733,0.01930262298,0.009950248756,2.047565,False,0.311405,False,False,not detected
passivator-01,23.347491,0.019754,2.331592,1.721372,0.06,0.045724,0,3.693759902,1.006812185,True,23.668598,5.422413,0.1433535166,0.1551166313,0.1243781095,2.796936,False,0.321107,False,False,not detected
passivator-01,24.480786,0.007908,20.40561,2.792468,0.139978,0.047921,0.920593,0.5022517729,1.006812185,False,24.468598,149.604555,3.206789181e-32,6.055031047e-29,0.004975124378,2.345417,True,0.012188,False,True,perovskite
passivator-01,26.207281,0.085805,1.951072,5.144031,0.256502,0.255504,1.3e-05,7.381572419,1.080627635,False,26.418598,1.882182,0.5972164909,0.5747398014,0.5621890547,2.682445,False,0.211317,False,False,not detected
passivator-01,28.302867,0.00519,50.402785,3.523055,0.158562,0.029969,0.999937,0.2511483702,1.868189903,False,28.268598,466.91688,7.043276466e-101,3.277589056e-97,0.004975124378,3.139773,True,0.034269,False,True,perovskite
passivator-01,30.277715,0.0186,25.728273,7.27561,0.372182,0.068521,0.706308,0.5824039146,1.174002017,False,30.318598,107.635551,3.541074567e-23,4.179413035e-21,0.004975124378,2.426872,True,0.040883,False,False,minor
passivator-01,31.774087,0.003918,59.472414,3.77709,0.171472,0.016292,0.577004,0.1912420077,1.174002017,False,31.768598,693.213181,6.218262343e-150,1.6638345e-144,0.004975124378,2.769415,True,0.005489,False,True,perovskite
passivator-01,34.897036,0.008448,31.218986,3.408727,0.187369,0.052069,1,0.3840208115,2.943418732,False,34.868598,239.03854,1.536102205e-51,1.007214319e-45,0.004975124378,2.699055,True,0.028438,False,True,perovskite
passivator-01,40.486799,0.00316,81.002775,3.857448,0.176735,0.012398,0.416865,0.1455416305,1.357010471,False,40.518598,1155.045279,4.156421495e-250,7.915382869e-199,0.004975124378,2.376568,True,0.031799,False,True,perovskite
passivator-01,43.060035,0.005745,28.271565,2.379556,0.129371,0.022803,0.815588,0.2615184193,1.031027545,False,43.068598,299.754839,1.12416113e-64,1.402657181e-47,0.004975124378,2.016972,True,0.008563,False,True,perovskite
passivator-02,12.806604,0.018356,11.027594,3.153881,0.322873,0.058154,0.467459,0.6675924349,1.123077322,False,12.737359,77.465934,1.072712258e-16,1.044401697e-13,0.004975124378,2.827819,True,0.069244,False,False,minor
passivator-02,14.141388,0.006352,42.730494,4.1451,0.337443,0.016539,0.094585,0.2516614244,1.123077322,False,14.137359,602.788635,2.505257272e-130,4.050006657e-94,0.004975124378,2.356568,True,0.004028,False,True,perovskite
passivator-02,20.051357,0.008335,32.77871,4.553048,0.271113,0.029323,0.621639,0.3020550234,0.9606481556,False,19.987359,305.30246,7.08164289e-66,3.624465379e-49,0.004975124378,2.069274,True,0.063997,False,True,perovskite
passivator-02,21.444018,0.078327,9.347339,21.564795,0.658751,0.290245,0,4.271559056,0.9606481556,False,21.187359,13.054642,0.004519917634,0.009666901622,0.01492537313,2.737016,False,0.256659,False,False,not detected
passivator-02,22.757119,0.061462,4.417609,17.847093,0.248644,0.367563,1,3.465577391,0.9931787896,False,22.887359,5.083269,0.1658003564,0.1522217205,0.1393034826,2.347219,False,0.13024,False,False,not detected
passivator-02,23.684627,0.335877,9.001098,102.663717,1.2,3.816919,0,19.97264046,0.9931787896,False,23.737359,-0.001697,1,1,1,2.399927,False,0.052732,False,False,not detected
passivator-02,24.566404,0.014654,18.995612,21.231663,0.308611,0.050998,0,2.069308477,0.9931787896,False,24.537359,138.844787,6.707137623e-30,3.804169126e-25,0.004975124378,2.341419,True,0.029044,False,True,perovskite
passivator-02,26.837359,7402.017112,0.001,199.457653,1.2,82458.37626,1,139190.2301,1.210924671,False,26.487359,-1.2e-05,1,1,1,2.226779,False,0.35,False,False,not detected
passivator-02,28.395099,0.007269,40.017831,6.613895,0.298716,0.020539,0,0.4561935056,1.025924088,False,28.337359,434.98542,5.83832868e-94,1.48065191e-85,0.004975124378,2.434945,True,0.05774,False,True,perovskite
passivator-02,30.338965,0.025791,26.569251,9.227568,0.430115,0.11466,1,0.5498432294,1.387968685,False,30.387359,77.310653,1.158182616e-16,1.797669576e-14,0.004975124378,2.373236,True,0.048394,False,False,minor
passivator-02,31.859884,0.005102,47.989902,5.096734,0.245473,0.015047,0,0.3031748863,1.387968685,False,31.837359,599.792088,1.118061114e-129,7.002364425e-95,0.004975124378,2.155907,True,0.022525,False,True,perovskite
passivator-02,35.033821,0.013197,32.968277,10.381681,0.433735,0.037483,0.108902,0.7584334606,2.331860314,False,34.937359,283.027494,4.685343422e-61,2.899357132e-55,0.004975124378,2.497186,True,0.096462,False,True,perovskite
passivator-02,40.571514,0.004183,73.417236,4.417131,0.220634,0.015993,0.468559,0.1739033294,0.8852840955,False,40.587359,954.537742,1.309344223e-206,2.300815922e-162,0.004975124378,2.347947,True,0.015846,False,True,perovskite
passivator-02,43.132975,0.00915,26.383968,4.392665,0.252872,0.035019,0.34842,0.470622414,1.062690827,False,43.137359,260.445318,3.601423553e-56,2.173378444e-48,0.004975124378,2.559713,True,0.004385,False,True,perovskite
passivator-03,13.031458,0.04289,4.286128,2.533633,0.294923,0.188136,1,1.152636978,1.466087526,False,12.950159,11.018716,0.01162509778,0.02214364513,0.01492537313,2.419243,False,0.081299,False,False,not detected
passivator-03,14.363835,0.00802,43.887762,5.249435,0.450821,0.020378,0,0.3044773963,1.466087526,False,14.350159,651.938563,5.534111595e-141,1.496245753e-104,0.004975124378,2.980036,True,0.013676,False,True,perovskite
passivator-03,20.265119,0.014254,28.286567,6.181874,0.398094,0.049895,0.63945,0.4171845171,1.341886112,False,20.200159,190.442424,4.898213336e-41,2.051376827e-37,0.004975124378,2.65257,True,0.06496,False,True,perovskite
passivator-03,21.750159,0.070445,10.330639,18.759872,0.52253,0.362554,1,1.675172315,1.341886112,False,21.400159,6.471457,0.09079497813,0.1050650337,0.08955223881,2.367108,False,0.35,False,False,not detected
passivator-03,22.961787,0.09938,1.47347,4.941618,0.260147,0.28259,0,8.887935564,1.130517488,False,23.100159,0.923683,0.8197091737,0.7649698051,0.7412935323,2.351098,False,0.138372,False,False,not detected
passivator-03,23.600159,0.116104,3.414636,7.366924,0.480516,0.311556,0.01184,6.06679605,1.130517488,False,23.950159,1.320594,0.724248668,0.7023140399,0.6567164179,3.158973,False,0.35,False,False,not detected
passivator-03,24.783021,0.025856,11.927047,8.626525,0.400092,0.072545,0,1.833933227,1.130517488,False,24.750159,59.177448,8.809677022e-13,4.377040175e-11,0.004975124378,2.583873,True,0.032862,False,True,perovskite
passivator-03,26.855046,0.037419,1.350235,1.330021,0.06,0.064973,0.598959,3.48971976,1.728011503,True,26.700159,2.602361,0.4570758262,0.4265385476,0.4328358209,2.599373,False,0.154887,False,False,not detected
passivator-03,28.621718,0.008194,44.581743,7.894447,0.372888,0.022297,0,0.4654045155,0.9870071962,False,28.550159,509.801,3.585990471e-110,1.092126784e-90,0.004975124378,2.542186,True,0.071559,False,True,perovskite
passivator-03,30.5348,0.032489,32.068681,18.400705,0.696451,0.113823,0.573528,0.8784949998,0.932164666,False,30.600159,104.819638,1.428735153e-22,3.011978858e-20,0.004975124378,2.566053,True,0.065359,False,False,minor
passivator-03,32.073148,0.010431,27.856894,5.457712,0.308381,0.033852,0.33721,0.4861369316,0.932164666,False,32.050159,229.048519,2.220923485e-49,3.918185421e-42,0.004975124378,2.637948,True,0.022989,False,True,perovskite
passivator-03,35.29706,0.012471,40.760375,13.059999,0.501956,0.033079,0,0.7667382384,1.18519667,False,35.150159,375.890674,3.689766847e-81,2.425565938e-68,0.004975124378,2.26347,True,0.146901,False,True,perovskite
passivator-03,40.803888,0.006949,52.10569,6.056938,0.333823,0.022144,0.259514,0.302929539,1.078337046,False,40.800159,621.578513,2.11507543e-134,1.828947287e-112,0.004975124378,2.533227,True,0.003729,False,True,perovskite
passivator-03,43.376373,0.013516,18.355451,3.022139,0.211029,0.085054,1,0.5468478838,1.079555861,False,43.350159,125.62813,4.732583119e-27,5.346645055e-26,0.004975124378,2.575345,True,0.026214,False,True,perovskite
passivator-04,12.70411,0.046808,12.941242,7.302584,0.579291,0.193451,1,0.7849872642,1.267384038,False,12.627379,23.212775,3.646204005e-05,5.69247403e-05,0.004975124378,3.078539,True,0.07673,False,False,minor
passivator-04,14.053899,0.007105,49.787725,4.535485,0.357687,0.02101,0.405248,0.2186931407,1.267384038,False,14.027379,593.022596,3.280844854e-128,3.003316563e-104,0.004975124378,2.582284,True,0.02652,False,True,perovskite
passivator-04,19.948729,0.009085,34.913702,4.118059,0.282127,0.033504,0.743292,0.2717787893,0.9548977034,False,19.877379,309.509277,8.701371098e-67,3.214433487e-72,0.004975124378,3.07688,True,0.071349,False,True,perovskite
passivator-04,21.270284,0.07542,4.518021,10.037364,0.46028,0.210342,0,5.081976397,0.9548977034,False,21.077379,3.861749,0.2767849096,0.2900712679,0.2835820896,2.597134,False,0.192905,False,False,not detected
passivator-04,22.427379,0.240916,4.420069,29.69626,0.771144,1.073386,5e-06,12.46409851,1.04310214,False,22.777379,0.088506,0.9931801488,0.9933417797,0.855721393,3.016241,False,0.35,False,False,not detected
passivator-04,23.458019,0.052597,2.221237,4.871295,0.205253,0.157189,0,5.521429535,1.04310214,False,23.627379,1.13709,0.7681288139,0.6959280094,0.6815920398,2.187566,False,0.169361,False,False,not detected
passivator-04,24.470532,0.015207,19.760818,7.899539,0.308929,0.048469,0.365546,0.8852344586,1.04310214,False,24.427379,103.66749,2.528029413e-22,8.880658562e-18,0.004975124378,2.161341,True,0.043153,False,True,perovskite
passivator-04,26.410944,0.063993,1.147666,2.735933,0.13657,0.231952,0,7.790665547,0.7759091647,False,26.377379,1.738412,0.6284280288,0.5913691604,0.5621890547,2.794586,False,0.033565,False,False,not detected
passivator-04,28.302974,0.008211,57.996509,6.744987,0.306777,0.032304,0.785741,0.2545572022,0.888712006,False,28.227379,436.16598,3.239806347e-94,1.474813508e-73,0.004975124378,2.158586,True,0.075595,False,True,perovskite
passivator-04,30.241481,0.021867,21.606664,10.662775,0.476897,0.060456,0,1.218525662,0.8444503793,False,30.277379,107.766304,3.318955195e-23,4.400240799e-22,0.004975124378,2.88894,True,0.035899,False,False,minor
passivator-04,31.756224,0.006755,58.521324,6.838046,0.330932,0.020777,0.274112,0.2933087005,0.8444503793,False,31.727379,625.47823,3.019026914e-135,7.726904288e-116,0.004975124378,2.292973,True,0.028845,False,True,perovskite
passivator-04,34.93847,0.014344,38.947242,14.772589,0.516592,0.037596,0,0.8950813189,1.002618133,False,34.827379,327.527131,1.09463889e-70,9.93212727e-68,0.004975124378,2.622965,True,0.11109,False,True,perovskite
passivator-04,40.468195,0.005285,70.669137,5.654014,0.283013,0.018641,0.401551,0.2130800365,1.091825103,False,40.477379,851.961626,2.325640321e-184,2.155219322e-154,0.004975124378,2.378629,True,0.009185,False,True,perovskite
passivator-04,43.034419,0.015561,22.551323,7.435454,0.377165,0.049797,0.237404,0.811045716,1.267404733,False,43.027379,162.983957,4.160413947e-35,2.024825595e-28,0.004975124378,2.450806,True,0.00704,False,True,perovskite
passivator-05,12.651918,0.008719,41.972393,3.536917,0.294955,0.03719,1,0.1907787445,1.671806891,False,12.63973,344.553279,2.254391244e-74,1.046087932e-60,0.004975124378,2.462961,True,0.012189,False,False,minor
passivator-05,14.015918,0.003343,44.20993,2.322047,0.143828,0.011808,0.669476,0.1471615932,1.671806891,False,14.03973,592.539496,4.175544488e-128,1.43040591e-98,0.004975124378,2.543718,True,0.023812,False,True,perovskite
passivator-05,19.905733,0.004535,31.432077,2.572929,0.148374,0.016621,0.593299,0.2336638569,1.347169987,False,19.88973,375.846664,3.771640551e-81,3.156327366e-72,0.004975124378,2.596906,True,0.016003,False,True,perovskite
passivator-05,21.387826,0.041565,2.558554,3.943024,0.205971,0.123896,0,4.280670297,1.347169987,False,21.08973,7.051892,0.07026207234,0.0728466596,0.05970149254,3.116256,False,0.298097,False,False,not detected
passivator-05,22.684227,0.060012,1.500959,3.23316,0.170805,0.187002,0,6.365066226,0.7327156739,False,22.78973,2.199662,0.5320149181,0.4697872827,0.4676616915,2.382984,False,0.105503,False,False,not detected
passivator-05,23.411691,0.135785,2.294777,5.646322,0.411273,0.39932,0.000443,7.225346599,0.7327156739,False,23.63973,0.761775,0.858586401,0.8261879573,0.7860696517,2.656434,False,0.228039,False,False,not detected
passivator-05,24.428314,0.007401,17.182899,3.247486,0.15193,0.026342,0.326131,0.5602422644,0.7327156739,False,24.43973,144.164772,4.779350805e-31,3.01848844e-26,0.004975124378,2.601,True,0.011415,False,True,perovskite
passivator-05,26.553286,0.066124,1.329265,3.199759,0.155258,0.226647,4e-06,7.547952321,0.8545924439,False,26.38973,1.900166,0.5933839389,0.5486554568,0.5223880597,2.476942,False,0.163557,False,False,not detected
passivator-05,28.25213,0.004986,41.33182,3.826721,0.173038,0.019053,0.514022,0.2716828176,0.918827915,False,28.23973,433.428912,1.26912723e-93,3.443376238e-92,0.004975124378,2.626999,True,0.0124,False,True,perovskite
passivator-05,30.239012,0.017691,23.309415,6.569521,0.352828,0.062429,0.6367,0.6084990728,0.7250217547,False,30.28973,107.786955,3.285170483e-23,9.577795176e-20,0.004975124378,2.467109,True,0.050717,False,False,minor
passivator-05,31.711669,0.003574,75.883029,3.777302,0.167123,0.016988,0.748592,0.1616219863,0.7250217547,False,31.73973,902.986263,1.991980544e-195,1.031913199e-174,0.004975124378,2.530045,True,0.02806,False,True,perovskite
passivator-05,34.840257,0.007786,40.466932,3.847808,0.211454,0.04727,1,0.3115025738,2.319328827,False,34.83973,321.322965,2.411908782e-69,8.681527433e-69,0.004975124378,2.847574,True,0.000528,False,True,perovskite
passivator-05,40.429063,0.003403,57.921402,3.568863,0.164967,0.012246,0.190433,0.1905961688,1.251412236,False,40.48973,849.820428,6.775673785e-184,2.025862863e-174,0.004975124378,2.763337,True,0.060667,False,True,perovskite
passivator-05,42.990337,0.006623,29.173538,3.180815,0.176642,0.0288,0.541392,0.3434786527,0.9432284189,False,43.03973,313.164565,1.40729593e-67,1.309738526e-56,0.004975124378,2.25053,True,0.049392,False,True,perovskite
