slug,title,authors,year,venue,cited_by,buckets,source,provenance,doi,is_oa,local_pdf
KyleMMcCall_2017_StrongElectronPhononCoup,"Strong Electron–Phonon Coupling and Self-Trapped Excitons in the Defect Halide Perovskites A3M2I9 (A = Cs, Rb; M = Bi, Sb)",Kyle M. McCall; Constantinos C. Stoumpos; Svetlana S. Kostina; Mercouri G. Kanatzidis; Bruce W. Wessels,2017,Chemistry of Materials,712,method,web,openalex,10.1021/acs.chemmater.7b01184,True,
QingZhang_2016_HighQualityWhisperingGal,High‐Quality Whispering‐Gallery‐Mode Lasing from Cesium Lead Halide Perovskite Nanoplatelets,Qing Zhang; Rui Su; Xinfeng Liu; Jun Xing; Tze Chien Sum; Qihua Xiong,2016,Advanced Functional Materials,664,stability,web,openalex,10.1002/adfm.201601690,True,
WaqaasRehman_2016_Photovoltaicmixedcationl,"Photovoltaic mixed-cation lead mixed-halide perovskites: links between crystallinity, photo-stability and electronic properties",Waqaas Rehman; David P. McMeekin; Jay B. Patel; Rebecca L. Milot; Michael B. Johnston; Henry J. Snaith,2016,Energy & Environmental Science,604,composition|method|stability,web,openalex,10.1039/c6ee03014a,True,
PamelaSWhitfield_2016_StructuresPhaseTransitio,"Structures, Phase Transitions and Tricritical Behavior of the Hybrid Perovskite Methyl Ammonium Lead Iodide",Pamela S. Whitfield; N. Herron; W. E. Guise; Katharine Page; Yongqiang Cheng; Ivan Milas,2016,Scientific Reports,572,method,web,openalex,10.1038/srep35685,True,
GuixiangLi_2023_Highlyefficientpinperovs,Highly efficient p-i-n perovskite solar cells that endure temperature variations,Guixiang Li; Zhenhuang Su; Laura Canil; Declan Hughes; Mahmoud H. Aldamasy; Janardan Dagar,2023,Science,559,composition|stability,web,openalex,10.1126/science.add7331,True,
TimothyWJones_2019_Latticestraincausesnonra,Lattice strain causes non-radiative losses in halide perovskites,Timothy W. Jones; Anna Osherov; Mejd Alsari; Melany Sponseller; Benjamin C. Duck; Young‐Kwang Jung,2019,Energy & Environmental Science,499,composition|method|stability,web,openalex,10.1039/c8ee02751j,True,
MonojitBag_2015_KineticsofIonTransportin,Kinetics of Ion Transport in Perovskite Active Layers and Its Implications for Active Layer Stability,Monojit Bag; Lawrence A. Renna; Ramesh Adhikari; Supravat Karak; Feng Liu; Paul M. Lahti,2015,Journal of the American Chemical Society,494,stability,web,openalex,10.1021/jacs.5b08535,True,
YichengZhao_2016_Quantificationoflightenh,Quantification of light-enhanced ionic transport in lead iodide perovskite thin films and its solar cell applications,Yicheng Zhao; Wenke Zhou; Xu Zhou; Kaihui Liu; Dapeng Yu; Qing Zhao,2016,Light Science & Applications,468,stability,web,openalex,10.1038/lsa.2016.243,True,
JunXing_2015_VaporPhaseSynthesisofOrg,Vapor Phase Synthesis of Organometal Halide Perovskite Nanowires for Tunable Room-Temperature Nanolasers,Jun Xing; Xin Feng Liu; Qing Zhang; Son Tung Ha; Yan Wen Yuan; Chao Shen,2015,Nano Letters,449,stability,web,openalex,10.1021/acs.nanolett.5b01166,True,
XinqianZhang_2018_OrientationRegulationofP,Orientation Regulation of Phenylethylammonium Cation Based 2D Perovskite Solar Cell with Efficiency Higher Than 11%,Xinqian Zhang; Gang Wu; Weifei Fu; Minchao Qin; Weitao Yang; Jielin Yan,2018,Advanced Energy Materials,388,composition,web,openalex,10.1002/aenm.201702498,False,
ShangshangChen_2021_Crystallizationinonestep,Crystallization in one-step solution deposition of perovskite films: Upward or downward?,Shangshang Chen; Xun Xiao; Bo Chen; Leah L. Kelly; Jingjing Zhao; Yuze Lin,2021,Science Advances,383,composition,web,openalex,10.1126/sciadv.abb2412,True,
DominikJKubicki_2017_PhaseSegregationinCsRban,"Phase Segregation in Cs-, Rb- and K-Doped Mixed-Cation (MA)x(FA)1–xPbI3 Hybrid Perovskites from Solid-State NMR",Dominik J. Kubicki; Daniel Prochowicz; Albert Hofstetter; Shaik M. Zakeeruddin; Michaël Grätzel; Lyndon Emsley,2017,Journal of the American Chemical Society,382,composition,web,openalex,10.1021/jacs.7b07223,True,
LinZhu_2021_Unveilingtheadditiveassi,Unveiling the additive-assisted oriented growth of perovskite crystallite for high performance light-emitting diodes,Lin Zhu; Hui Cao; Chen Xue; Hao Zhang; Minchao Qin; Jie Wang,2021,Nature Communications,360,composition,web,openalex,10.1038/s41467-021-25407-8,True,
XinGuo_2016_Identificationandcharact,Identification and characterization of the intermediate phase in hybrid organic–inorganic MAPbI 3 perovskite,Xin Guo; Christopher McCleese; Charles Kolodziej; Anna Cristina S. Samia; Yixin Zhao; Clemens Burda,2016,Dalton Transactions,352,composition,web,openalex,10.1039/c5dt04420k,False,
DavidPMcMeekin_2017_CrystallizationKineticsa,Crystallization Kinetics and Morphology Control of Formamidinium–Cesium Mixed‐Cation Lead Mixed‐Halide Perovskite via Tunability of the Colloidal Precursor Solution,David P. McMeekin; Zhiping Wang; Waqaas Rehman; Federico Pulvirenti; Jay B. Patel; Nakita K. Noel,2017,Advanced Materials,332,method,web,openalex,10.1002/adma.201607039,True,
JunHu_2019_Syntheticcontroloverorie,Synthetic control over orientational degeneracy of spacer cations enhances solar cell efficiency in two-dimensional perovskites,Jun Hu; Iain W. H. Oswald; Samuel J. Stuard; Masrur Morshed Nahid; Ninghao Zhou; Olivia F. Williams,2019,Nature Communications,301,method,web,openalex,10.1038/s41467-019-08980-x,True,
AnnaliseEMaughan_2019_PerspectivesandDesignPri,Perspectives and Design Principles of Vacancy-Ordered Double Perovskite Halide Semiconductors,Annalise E. Maughan; Alex M. Ganose; David O. Scanlon; James R. Neilson,2019,Chemistry of Materials,295,method,web,openalex,10.1021/acs.chemmater.8b05036,True,
BinDing_2024_Dopantadditivesynergisme,Dopant-additive synergism enhances perovskite solar modules,Bin Ding; Yong Ding; Jun Peng; Jan Romano‐deGea; Lindsey E. K. Frederiksen; Hiroyuki Kanda,2024,Nature,289,composition,web,openalex,10.1038/s41586-024-07228-z,True,
GhadaAbdelmageed_2016_Mechanismsforlightinduce,Mechanisms for light induced degradation in MAPbI3 perovskite thin films and solar cells,Ghada Abdelmageed; Leila Jewell; Kaitlin Hellier; Lydia Seymour; Binbin Luo; F. Bridges,2016,Applied Physics Letters,280,stability,web,openalex,10.1063/1.4967840,True,
ZeguoTang_2017_Hysteresisfreeperovskite,Hysteresis-free perovskite solar cells made of potassium-doped organometal halide perovskite,Zeguo Tang; Takeru Bessho; Fumiyasu Awai; Takumi Kinoshita; Masato M. Maitani; Ryota Jono,2017,Scientific Reports,274,composition,web,openalex,10.1038/s41598-017-12436-x,True,
MohammadMahdiTavakol_2019_ControllablePerovskiteCr,Controllable Perovskite Crystallization via Antisolvent Technique Using Chloride Additives for Highly Efficient Planar Perovskite Solar Cells,Mohammad Mahdi Tavakoli; Pankaj Yadav; Daniel Prochowicz; Melany Sponseller; Anna Osherov; Vladimir Bulović,2019,Advanced Energy Materials,261,composition,web,openalex,10.1002/aenm.201803587,True,
XinqianZhang_2017_VerticallyOriented2DLaye,Vertically Oriented 2D Layered Perovskite Solar Cells with Enhanced Efficiency and Good Stability,Xinqian Zhang; Gang Wu; Shida Yang; Weifei Fu; Zhongqiang Zhang; Chen Chen,2017,Small,255,composition,web,openalex,10.1002/smll.201700611,False,
KaiEckhardt_2016_Crystallographicinsights,Crystallographic insights into (CH 3 NH 3 ) 3 (Bi 2 I 9 ): a new lead-free hybrid organic–inorganic material as a potential absorber for photovoltaics,Kai Eckhardt; Volodymyr Bon; Jürgen Getzschmann; Julia Grothe; Florian M. Wisser; Stefan Kaskel,2016,Chemical Communications,250,method,web,openalex,10.1039/c5cc10455f,True,
MathiasUllerRothmann_2017_Directobservationofintri,Direct observation of intrinsic twin domains in tetragonal CH3NH3PbI3,Mathias Uller Rothmann; Wei Li; Ye Zhu; Udo Bach; Leone Spiccia; Joanne Etheridge,2017,Nature Communications,248,stability,web,openalex,10.1038/ncomms14547,True,
NamKooKim_2017_InvestigationofThermally,Investigation of Thermally Induced Degradation in CH3NH3PbI3 Perovskite Solar Cells using In-situ Synchrotron Radiation Analysis,Nam-Koo Kim; Young Hwan Min; Seokhwan Noh; Eunkyung Cho; Gitaeg Jeong; Minho Joo,2017,Scientific Reports,247,stability,web,openalex,10.1038/s41598-017-04690-w,True,
BrandonRSutherland_2014_PerovskiteThinFilmsviaAt,Perovskite Thin Films via Atomic Layer Deposition,Brandon R. Sutherland; Sjoerd Hoogland; Michael M. Adachi; Pongsakorn Kanjanaboos; Chris T. O. Wong; Jeffrey J. McDowell,2014,Advanced Materials,232,method,web,openalex,10.1002/adma.201403965,True,
YangZhou_2016_Giantphotostrictioninorg,Giant photostriction in organic–inorganic lead halide perovskites,Yang Zhou; Lü You; Shiwei Wang; Zhiliang Ku; Hong Jin Fan; Daniel Schmidt,2016,Nature Communications,221,stability,web,openalex,10.1038/ncomms11193,True,
VanessaLPool_2017_ThermalengineeringofFAPb,Thermal engineering of FAPbI3 perovskite material via radiative thermal annealing and in situ XRD,Vanessa L. Pool; Benjia Dou; Douglas G. Van Campen; Talysa R. Klein-Stockert; Frank S. Barnes; Sean E. Shaheen,2017,Nature Communications,216,composition|stability,web,openalex,10.1038/ncomms14075,True,
MasakiShirayama_2016_DegradationmechanismofCH,Degradation mechanism of CH3NH3PbI3 perovskite materials upon exposure to humid air,Masaki Shirayama; Masato Kato; Tetsuhiko Miyadera; Takeshi Sugita; Takemasa Fujiseki; Shota Hara,2016,Journal of Applied Physics,207,stability,web,openalex,10.1063/1.4943638,True,
JulianASteele_2023_HowtoGIWAXSGrazingIncide,How to GIWAXS: Grazing Incidence Wide Angle X‐Ray Scattering Applied to Metal Halide Perovskite Thin Films,Julian A. Steele; Eduardo Solano; David Hardy; Damara Dayton; Dylan M. Ladd; Keith P. White,2023,Advanced Energy Materials,206,method,web,openalex,10.1002/aenm.202300760,True,
XingangZhao_2020_Polymorphousnatureofcubi,Polymorphous nature of cubic halide perovskites,Xingang Zhao; Gustavo M. Dalpian; Zhi Wang; Alex Zunger,2020,Physical review. B./Physical review. B,202,stability,web,openalex,10.1103/physrevb.101.155137,True,
OlgaNazarenko_2017_Singlecrystalsofcaesiumf,Single crystals of caesium formamidinium lead halide perovskites: solution growth and gamma dosimetry,Olga Nazarenko; Sergii Yakunin; Viktoriia Morad; Ihor Cherniukh; Maksym V. Kovalenko,2017,NPG Asia Materials,201,stability,web,openalex,10.1038/am.2017.45,True,
NgaPhung_2020_TheDopingMechanismofHali,The Doping Mechanism of Halide Perovskite Unveiled by Alkaline Earth Metals,Nga Phung; Roberto Félix; Daniele Meggiolaro; Amran Al‐Ashouri; Gabrielle Sousa e Silva; Claudia Hartmann,2020,Journal of the American Chemical Society,192,method,web,openalex,10.1021/jacs.9b11637,True,
HuiSeonKim_2020_Importanceoftailoringlat,Importance of tailoring lattice strain in halide perovskite crystals,Hui‐Seon Kim; Nam‐Gyu Park,2020,NPG Asia Materials,191,composition,web,openalex,10.1038/s41427-020-00265-w,True,
IoannisDeretzis_2015_AtomisticoriginsofCH3NH3,Atomistic origins of CH3NH3PbI3 degradation to PbI2 in vacuum,Ioannis Deretzis; Alessandra Alberti; Giovanna Pellegrino; Emanuele Smecca; Filippo Giannazzo; Nobuya Sakai,2015,Applied Physics Letters,180,stability,web,openalex,10.1063/1.4916821,False,
SirajSidhik_2024_Twodimensionalperovskite,"Two-dimensional perovskite templates for durable, efficient formamidinium perovskite solar cells",Siraj Sidhik; Isaac Metcalf; Wenbin Li; Tim Kodalle; Connor J. Dolan; Mohammad Khalili,2024,Science,180,method,web,openalex,10.1126/science.abq6993,True,
AlessandraAlberti_2019_PbclusteringandPbI2nanof,Pb clustering and PbI2 nanofragmentation during methylammonium lead iodide perovskite degradation,Alessandra Alberti; Corrado Bongiorno; Emanuele Smecca; Ioannis Deretzis; Antonino La Magna; C. Spinella,2019,Nature Communications,179,stability,web,openalex,10.1038/s41467-019-09909-0,True,
PaulFal_2018_Fractionaldeviationsinpr,"Fractional deviations in precursor stoichiometry dictate the properties, performance and stability of perovskite photovoltaic devices",Paul Faßl; Vincent Lami; Alexandra Bausch; Zhiping Wang; Matthew T. Klug; Henry J. Snaith,2018,Energy & Environmental Science,173,method,web,openalex,10.1039/c8ee01136b,True,
LauraTSchelhas_2019_Insightsintooperationals,Insights into operational stability and processing of halide perovskite active layers,Laura T. Schelhas; Zhen Li; Jeffrey A. Christians; Anuj Goyal; Paul Kairys; Steven P. Harvey,2019,Energy & Environmental Science,173,stability,web,openalex,10.1039/c8ee03051k,True,
MatthewSKirschner_2019_Photoinducedreversibleph,"Photoinduced, reversible phase transitions in all-inorganic perovskite nanocrystals",Matthew S. Kirschner; Benjamin T. Diroll; Peijun Guo; Samantha M. Harvey; Waleed Helweh; Nathan C. Flanders,2019,Nature Communications,167,stability,web,openalex,10.1038/s41467-019-08362-3,True,
TianDu_2021_AdditiveFreeLowTemperatu,"Additive‐Free, Low‐Temperature Crystallization of Stable α‐FAPbI3 Perovskite",Tian Du; Thomas J. Macdonald; Ruoxi Yang; Meng Li; Zhongyao Jiang; Lokeshwari Mohan,2021,Advanced Materials,163,composition,web,openalex,10.1002/adma.202107850,True,
JustinMHoffman_2020_InSituGrazingIncidenceWi,In Situ Grazing‐Incidence Wide‐Angle Scattering Reveals Mechanisms for Phase Distribution and Disorientation in 2D Halide Perovskite Films,Justin M. Hoffman; Joseph Strzalka; Nathan C. Flanders; Ido Hadar; Shelby A. Cuthriell; Qingteng Zhang,2020,Advanced Materials,128,method,web,openalex,10.1002/adma.202002812,True,
JiangtaoZhao_2016_InvestigationoftheHydrol,Investigation of the Hydrolysis of Perovskite Organometallic Halide CH3NH3PbI3 in Humidity Environment,Jiangtao Zhao; Bing Cai; Zhenlin Luo; Yongqi Dong; Yi Zhang; Xu Han,2016,Scientific Reports,128,stability,web,openalex,10.1038/srep21976,True,
ShibinLi_2017_MesoporousPbI2assistedgr,Mesoporous PbI2 assisted growth of large perovskite grains for efficient perovskite solar cells based on ZnO nanorods,Shibin Li; Peng Zhang; Hao Chen; Yafei Wang; Detao Liu; Jiang Wu,2017,Journal of Power Sources,114,stability,web,openalex,10.1016/j.jpowsour.2017.01.024,True,
FrederikeLehmann_2019_Thephasediagramofamixedh,"The phase diagram of a mixed halide (Br, I) hybrid perovskite obtained by synchrotron X-ray diffraction",Frederike Lehmann; Alexandra Franz; Daniel M. Többens; Sergiu Levcenco; Thomas Unold; Andreas Taubert,2019,RSC Advances,114,composition,web,openalex,10.1039/c8ra09398a,True,
YongWang_2024_LatticeMismatchattheHete,Lattice Mismatch at the Heterojunction of Perovskite Solar Cells,Yong Wang; Dexu Zheng; Kai Wang; Qi Yang; Jin Qian; Jiaju Zhou,2024,Angewandte Chemie International Edition,92,method,web,openalex,10.1002/anie.202405878,True,
JianhuiChang_2023_CrystallizationandOrient,Crystallization and Orientation Modulation Enable Highly Efficient Doctor-Bladed Perovskite Solar Cells,Jianhui Chang; Erming Feng; Hengyue Li; Yang Ding; Caoyu Long; Yuanji Gao,2023,Nano-Micro Letters,88,method,web,openalex,10.1007/s40820-023-01138-x,True,
DmitryBogachuk_2021_Comparisonofhighlyconduc,Comparison of highly conductive natural and synthetic graphites for electrodes in perovskite solar cells,Dmitry Bogachuk; Ryuki Tsuji; David Martineau; Stèphanie Narbey; Jan Herterich; Lukas Wagner,2021,Carbon,79,method,web,openalex,10.1016/j.carbon.2021.01.022,True,
YachaoDu_2023_CrystallizationControlBa,Crystallization Control Based on the Regulation of Solvent–Perovskite Coordination for High‐Performance Ambient Printable FAPbI3 Perovskite Solar Cells,Yachao Du; Qingwen Tian; Shiqiang Wang; Lei Yin; Chuang Ma; Zhiteng Wang,2023,Advanced Materials,51,method,web,openalex,10.1002/adma.202307583,True,
RubnSegovia_2018_EvolutionofPhotoluminesc,"Evolution of Photoluminescence, Raman, and Structure of CH3NH3PbI3 Perovskite Microwires Under Humidity Exposure",Rubén Segovia; Geyang Qu; Peng Miao; Xiudong Sun; Hongyan Shi; Bo Gao,2018,Nanoscale Research Letters,50,stability,web,openalex,10.1186/s11671-018-2470-0,True,
MoamenRAElsayed_2023_Synthesisandnumericalsim,Synthesis and numerical simulation of formamidinium-based perovskite solar cells: a predictable device performance at NIS-Egypt,Moamen R. A. Elsayed; Ahmed Mourtada Elseman; Alaaeldin A. Abdelmageed; H. M. Hashem; A. Hassen,2023,Scientific Reports,38,stability,web,openalex,10.1038/s41598-023-37018-y,True,
DoKyoungLee_2025_StrainEngineeringReducti,Strain Engineering: Reduction of Microstrain at the Perovskite Surface via Alkali Metal Chloride Treatment Enhances Stability,Do-Kyoung Lee; Kostas Fykouras; Tim Kodalle; Raphael F. Moral; Craig P. Schwartz; Nobumichi Tamura,2025,ACS Energy Letters,36,method,web,openalex,10.1021/acsenergylett.4c03334,True,
YingqiWang_2022_VisualizingLightInducedM,Visualizing Light-Induced Microstrain and Phase Transition in Lead-Free Perovskites Using Time-Resolved X-Ray Diffraction,Yingqi Wang; Cunming Liu; Yang Ren; Xiaobing Zuo; Sophie E. Canton; Kaibo Zheng,2022,Journal of the American Chemical Society,34,method,web,openalex,10.1021/jacs.1c11747,True,
YuqinZou_2024_MicrostrainandCrystalOri,"Microstrain and Crystal Orientation Variation within Naked Triple-Cation Mixed Halide Perovskites under Heat, UV, and Visible Light Exposure",Yuqin Zou; Johanna Eichhorn; Jiyun Zhang; Fabian A. C. Apfelbeck; Shanshan Yin; Lukas Wolz,2024,ACS Energy Letters,24,method,web,openalex,10.1021/acsenergylett.3c02617,True,
TimWJvandeGoor_2021_ImpactofOrientationalGla,Impact of Orientational Glass Formation and Local Strain on Photo-Induced Halide Segregation in Hybrid Metal-Halide Perovskites,Tim W. J. van de Goor; Yun Liu; Sascha Feldmann; Sean A. Bourelle; Timo Neumann; Thomas Winkler,2021,The Journal of Physical Chemistry C,20,composition,web,openalex,10.1021/acs.jpcc.1c03169,True,
StefanWeber_2019_Dependenceofmaterialprop,Dependence of material properties and photovoltaic performance of triple cation tin perovskites on the iodide to bromide ratio,Stefan Weber; Thomas Rath; Birgit Kunert; Roland Resel; Théodoros Dimopoulos; Gregor Trimmel,2019,Monatshefte für Chemie - Chemical Monthly,12,composition,web,openalex,10.1007/s00706-019-02503-6,True,
ErikaVega_2015_SynthesisofMAPbBr3iYiYIC,"Synthesis of MAPbBr3‐iYi (Y=I, Cl and i=0, 1, 2, 3) thin film perovskites",Erika Vega; M. Mollar; Bernabé Marí Soucase,2015,"Physica status solidi. C, Conferences and critical reviews/Physica status solidi. C, Current topics in solid state physics",12,composition,web,openalex,10.1002/pssc.201510107,True,
ShiqiSui_2021_Synthesisoftwodimensiona,Synthesis of two-dimensional phenylethylamine tin–lead halide perovskites with bandgap bending behavior,Shiqi Sui; Jian Zhou; Aifei Wang; Guangcai Hu; W. J. Meng; Chuying Wang,2021,Nanoscale Advances,11,composition,web,openalex,10.1039/d0na00939c,True,
HermanDuim_2020_UnravelingtheMicrostruct,Unraveling the Microstructure of Layered Metal Halide Perovskite Films,Herman Duim; Gert H. ten Brink; Sampson Adjokatse; René de Kloe; Bart J. Kooi; Giuseppe Portale,2020,Small Structures,10,method,web,openalex,10.1002/sstr.202000074,True,
HeHuang_2019_FacileSynthesisofFAPbI3N,Facile Synthesis of FAPbI3 Nanorods,He Huang; Linzhong Wu; Yiou Wang; A. Richter; Markus Döblinger; Jochen Feldmann,2019,Nanomaterials,9,stability,web,openalex,10.3390/nano10010072,True,
MerkMHoeksma_2024_SynergisticZincIIandForm,Synergistic Zinc(II) and Formate Doping of Perovskites: Thermal Phase Stabilization of α-FAPbI3 and Enhanced Photoluminescence Lifetime of FA0.8MA0.2PbI3 up to 3.7 µs,Merk M. Hoeksma; René M. Williams,2024,Molecules,6,stability,web,openalex,10.3390/molecules29020516,True,
AAlJanabi_2025_MechanismsPerformanceEnh,"Mechanisms, Performance Enhancements, and Scalability Prospects of Solvent-Annealed Perovskite Solar Cells: A Review",A. Al-Janabi; R. Chtourou,2025,Journal of Applied Sciences and Nanotechnology,1,stability,web,openalex,10.53293/jasn.2025.7711.1347,True,
Wu_2019_Achemicallyinertbismuthi,A chemically inert bismuth interlayer enhances long-term stability of inverted perovskite solar cells,"Wu, Shaohang; Chen, Rui; Zhang, Shasha; Babu, B. Hari; Yue, Youfeng; Zhu, Hongmei",2019,Nature Communications,0,composition|stability,local,crossref-doi,10.1038/s41467-019-09167-0,,/Users/ericdong/Desktop/Photovoltaic/Wu2019_NatCommun_Article_BismuthInterlayer-LongTermStability-InvertedPerovskiteSolarCells.pdf
Arber_2025_IonMigrationandDopantEff,Ion Migration and Dopant Effects in the Gamma-CsPbI3 Perovskite Photovoltaic Material: Atomistic Insights through Ab Initio and Machine Learning Methods,"Arber, Allison Nicole; Vikram; Mocanu, Felix C.; Islam, M. Saiful",2025,Chemistry of Materials,0,composition|method|stability,local,crossref-doi,10.1021/acs.chemmater.5c00503,,/Users/ericdong/Desktop/Photovoltaic/perovskite_paper_bundle/10_Arber_2025_Dopant_effects_gamma_CsPbI3.pdf
ArkitaChakrabarti_2023_Nanosizeandinterfacialst,Nanosize and interfacial strain induced crystal phase selectivity in cesium lead iodide,Arkita Chakrabarti; Aaron T. Fafarman,2023,,0,stability,web,openalex,10.17918/00001721,True,
MohamedAbuShuheil_2026_NextgenerationCsPbBr3per,"Next-generation CsPbBr 3 perovskite nanocrystal chloride sensors: stability engineering and halide-exchange mechanisms in aqueous, biological, and environmental media",Mohamed Abu Shuheil; Ahmed Aldulaimi; Subhashree Ray; Talal Aziz Qassem; Gunjan Garg; Renu Sharma,2026,RSC Advances,0,composition,web,openalex,10.1039/d5ra09798c,True,
Yang_2022_Perovskitesolarcellsbase,"Perovskite solar cells based self-charging power packs: Fundamentals, applications and challenges","Yang, Yang; Hoang, Minh Tam; Bhardwaj, Aman; Wilhelm, Michael; Mathur, Sanjay; Wang, Hongxia",2022,Nano Energy,0,composition|method|stability,local,crossref-doi,10.1016/j.nanoen.2021.106910,,/Users/ericdong/Desktop/Photovoltaic/Yang2022_NanoEnergy_Review_PerovskiteSolarCells-SelfChargingPowerPacks-Photocapacitors-Photobatteries.pdf
Xue_2020_Regulatingstraininperovs,Regulating strain in perovskite thin films through charge-transport layers,"Xue, Ding-Jiang; Hou, Yi; Liu, Shun-Chang; Wei, Mingyang; Chen, Bin; Huang, Ziru",2020,Nature Communications,0,composition|method|stability,local,crossref-doi,10.1038/s41467-020-15338-1,,/Users/ericdong/Desktop/Photovoltaic/perovskite_paper_bundle/04_Xue_2020_Strain_ion_migration.pdf
Li_2026_Stabilizinghighefficienc,Stabilizing high-efficiency perovskite solar cells via strategic interfacial contact engineering,"Li, Guixiang; Zhang, Zuhong; Agyei-Tuffour, Benjamin; Wu, Luyan; Gries, Thomas W.; Prashanthan, Karunanantharajah",2026,Nature Photonics,0,composition|method|stability,local,crossref-doi,10.1038/s41566-025-01791-1,,/Users/ericdong/Downloads/s41566-025-01791-1.pdf
